0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,EventId
3.0,0.0,20.0,36.0,0.0,0.0,0.0,0.0,0.3694506407597979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516449045413519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19842914946528173,0.0,0.5279263585842844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5279263585842844,0.0,0.0,0.0,0.0,0.0,E10
3.0,0.0,20.0,38.0,0.0,0.0,0.0,0.0,0.34939103204185995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48840804444937863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37531057018216657,0.0,0.4992621880111665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4992621880111665,0.0,0.0,0.0,0.0,0.0,E10
5.0,0.0,20.0,40.0,0.0,0.23836634715786661,0.29376506859060325,0.0,0.2062718063434884,0.29376506859060325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23836634715786661,0.0,0.2184207112050361,0.6647221778892567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22577317524360016,0.0,0.0,0.0,0.0,0.0,0.0,0.21067618968495705,0.29376506859060325,0.0,0.0,0.0,E6
3.0,0.0,20.0,40.0,0.0,0.0,0.0,0.0,0.3694506407597979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516449045413519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19842914946528173,0.0,0.5279263585842844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5279263585842844,0.0,0.0,0.0,0.0,0.0,E10
3.0,0.0,20.0,41.0,0.0,0.0,0.0,0.0,0.34939103204185995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48840804444937863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37531057018216657,0.0,0.4992621880111665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4992621880111665,0.0,0.0,0.0,0.0,0.0,E10
5.0,0.0,20.0,41.0,0.0,0.23836634715786661,0.29376506859060325,0.0,0.2062718063434884,0.29376506859060325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23836634715786661,0.0,0.2184207112050361,0.6647221778892567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22577317524360016,0.0,0.0,0.0,0.0,0.0,0.0,0.21067618968495705,0.29376506859060325,0.0,0.0,0.0,E6
5.0,0.0,20.0,43.0,0.0,0.23836634715786661,0.29376506859060325,0.0,0.2062718063434884,0.29376506859060325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23836634715786661,0.0,0.2184207112050361,0.6647221778892567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22577317524360016,0.0,0.0,0.0,0.0,0.0,0.0,0.21067618968495705,0.29376506859060325,0.0,0.0,0.0,E6
5.0,0.0,20.0,44.0,0.0,0.23836634715786661,0.29376506859060325,0.0,0.2062718063434884,0.29376506859060325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23836634715786661,0.0,0.2184207112050361,0.6647221778892567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22577317524360016,0.0,0.0,0.0,0.0,0.0,0.0,0.21067618968495705,0.29376506859060325,0.0,0.0,0.0,E6
3.0,0.0,20.0,45.0,0.0,0.0,0.0,0.0,0.3694506407597979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516449045413519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19842914946528173,0.0,0.5279263585842844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5279263585842844,0.0,0.0,0.0,0.0,0.0,E10
3.0,0.0,20.0,46.0,0.0,0.0,0.0,0.0,0.2578159997202256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37650544316290596,0.0,0.0,0.0,0.0,0.0,0.0,0.6923551335276573,0.30280470815490756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37562851461197616,0.0,0.0,0.0,0.0,0.2821904646944785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E11
3.0,0.0,20.0,47.0,0.0,0.0,0.0,0.0,0.2578159997202256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37650544316290596,0.0,0.0,0.0,0.0,0.0,0.0,0.6923551335276573,0.30280470815490756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37562851461197616,0.0,0.0,0.0,0.0,0.2821904646944785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E11
